Name:                                                          Zakaria
Favorite Math Subject:                                               P
Confidence Level:                                                    5
# of Hours Studying Math:                                         4.00
Estimated Problems Solved Per Hour:                               1.00
Test Scores-                                      
Test Score 1:                                                     4.00
Test Score 2:                                                     4.00
Test Score 3:                                                     4.00
Test Score 4:                                                     4.00
Test Score 5:                                                     4.00
Average Test Scores:                                              4.00
